2017-18 Rank,Rank in the most recent five years,School Name,City,School Name+city,2017-18 Rating,Rating in the most recent five years,Rating in the most recent five years adj,latitude,Longitude
188/852,302/664,Monsignor J. S. Smith,Calgary,"Monsignor J. S. Smith school, Calgary, AB, Canada",7.3,6.3,6.3,,
188/852,385/664,Derek Taylor,Grande Prairie,"Derek Taylor school, Grande Prairie, AB, Canada",7.3,5.9,,,
188/852,n/a,du Nouveau-Monde,Calgary,"du Nouveau-Monde school, Calgary, AB, Canada",7.3,n/a,7.3,,
188/852,n/a,Mayland Heights,Calgary,"Mayland Heights school, Calgary, AB, Canada",7.3,n/a,7.3,,
188/852,n/a,St. Mary,Westlock,"St. Mary school, Westlock, AB, Canada",7.3,n/a,,,
188/852,n/a,St. William,Calgary,"St. William school, Calgary, AB, Canada",7.3,n/a,7.3,,
203/852,63/664,Killarney,Calgary,"Killarney school, Calgary, AB, Canada",7.2,7.9,7.9,,
203/852,87/664,Calgary Waldorf,Calgary,"Calgary Waldorf school, Calgary, AB, Canada",7.2,7.7,7.7,,
203/852,116/664,Bezanson,Bezanson,"Bezanson school, Bezanson, AB, Canada",7.2,7.5,,,
203/852,151/664,Bishop Greschuk,Edmonton,"Bishop Greschuk school, Edmonton, AB, Canada",7.2,7.2,,,
203/852,151/664,St. Mary's,Okotoks,"St. Mary's school, Okotoks, AB, Canada",7.2,7.2,,,
203/852,151/664,Woodbridge Farms,Sherwood Park,"Woodbridge Farms school, Sherwood Park, AB, Canada",7.2,7.2,,,
203/852,172/664,Duchess,Duchess,"Duchess school, Duchess, AB, Canada",7.2,7.1,,,
203/852,172/664,St. Patrick Fine Arts,Lethbridge,"St. Patrick Fine Arts school, Lethbridge, AB, Canada",7.2,7.1,,,
203/852,200/664,High Park,Stony Plain,"High Park school, Stony Plain, AB, Canada",7.2,6.9,,,
203/852,200/664,St. Stanislaus,Edmonton,"St. Stanislaus school, Edmonton, AB, Canada",7.2,6.9,,,
203/852,214/664,St. Anthony,Drayton Valley,"St. Anthony school, Drayton Valley, AB, Canada",7.2,6.8,,,
203/852,227/664,Brander Gardens,Edmonton,"Brander Gardens school, Edmonton, AB, Canada",7.2,6.7,,,
203/852,227/664,Sturgeon Heights,St. Albert,"Sturgeon Heights school, St. Albert, AB, Canada",7.2,6.7,,,
203/852,266/664,St. Dominic,Cold Lake,"St. Dominic school, Cold Lake, AB, Canada",7.2,6.5,,,
203/852,302/664,Holy Cross,Edmonton,"Holy Cross school, Edmonton, AB, Canada",7.2,6.3,,,
203/852,344/664,Evansview,Evansburg,"Evansview school, Evansburg, AB, Canada",7.2,6.1,,,
203/852,n/a,Coloniale Estates,Beaumont,"Coloniale Estates school, Beaumont, AB, Canada",7.2,n/a,,,
220/852,58/664,Rosedale,Calgary,"Rosedale school, Calgary, AB, Canada",7.1,8,8,,
220/852,116/664,Sainte Marguerite Bourgeoys,Calgary,"Sainte Marguerite Bourgeoys school, Calgary, AB, Canada",7.1,7.5,7.5,,
220/852,138/664,Calvin Christian,Coalhurst,"Calvin Christian school, Coalhurst, AB, Canada",7.1,7.3,,,
220/852,151/664,Mother Teresa of Calcutta,Calgary,"Mother Teresa of Calcutta school, Calgary, AB, Canada",7.1,7.2,7.2,,
220/852,190/664,Meadowlark Christian,Edmonton,"Meadowlark Christian school, Edmonton, AB, Canada",7.1,7,,,
220/852,200/664,Bearspaw,Calgary,"Bearspaw school, Calgary, AB, Canada",7.1,6.9,6.9,,
220/852,200/664,Michael Strembitsky,Edmonton,"Michael Strembitsky school, Edmonton, AB, Canada",7.1,6.9,,,
220/852,214/664,Campbelltown,Sherwood Park,"Campbelltown school, Sherwood Park, AB, Canada",7.1,6.8,,,
220/852,227/664,Monsignor Fee Otterson,Edmonton,"Monsignor Fee Otterson school, Edmonton, AB, Canada",7.1,6.7,,,
220/852,246/664,Ste. Marie,Spirit River,"Ste. Marie school, Spirit River, AB, Canada",7.1,6.6,,,
220/852,246/664,Ste-Jeanne-d'Arc,Edmonton,"Ste-Jeanne-d'Arc school, Edmonton, AB, Canada",7.1,6.6,,,
220/852,246/664,Viking,Viking,"Viking school, Viking, AB, Canada",7.1,6.6,,,
220/852,320/664,Coronation,Edmonton,"Coronation school, Edmonton, AB, Canada",7.1,6.2,,,
220/852,385/664,Bridlewood,Calgary,"Bridlewood school, Calgary, AB, Canada",7.1,5.9,5.9,,
220/852,520/664,Fox Creek,Fox Creek,"Fox Creek school, Fox Creek, AB, Canada",7.1,5,,,
220/852,560/664,Father Scollen,Calgary,"Father Scollen school, Calgary, AB, Canada",7.1,4.7,4.7,,
220/852,n/a,Heritage,Falher,"Heritage school, Falher, AB, Canada",7.1,n/a,,,
220/852,n/a,James Gibbons,Edmonton,"James Gibbons school, Edmonton, AB, Canada",7.1,n/a,,,
220/852,n/a,Kim Hung,Edmonton,"Kim Hung school, Edmonton, AB, Canada",7.1,n/a,,,
220/852,n/a,Niton Central,Niton Junction,"Niton Central school, Niton Junction, AB, Canada",7.1,n/a,,,
240/852,80/664,Good Shepherd,Edmonton,"Good Shepherd school, Edmonton, AB, Canada",7,7.8,,,
240/852,116/664,St. Sylvester,Calgary,"St. Sylvester school, Calgary, AB, Canada",7,7.5,7.5,,
240/852,124/664,Mountain View,Mountain View,"Mountain View school, Mountain View, AB, Canada",7,7.4,,,
240/852,151/664,Afton,Edmonton,"Afton school, Edmonton, AB, Canada",7,7.2,,,
240/852,151/664,Monsignor William Irwin,Edmonton,"Monsignor William Irwin school, Edmonton, AB, Canada",7,7.2,,,
240/852,151/664,Queen Alexandra,Edmonton,"Queen Alexandra school, Edmonton, AB, Canada",7,7.2,,,
240/852,190/664,Westglen,Edmonton,"Westglen school, Edmonton, AB, Canada",7,7,,,
240/852,214/664,Ronald Harvey,St. Albert,"Ronald Harvey school, St. Albert, AB, Canada",7,6.8,,,
240/852,227/664,Leduc Estates,Leduc,"Leduc Estates school, Leduc, AB, Canada",7,6.7,,,
240/852,246/664,James Mowat,Fort Saskatchewan,"James Mowat school, Fort Saskatchewan, AB, Canada",7,6.6,,,
240/852,266/664,Queen Elizabeth,Calgary,"Queen Elizabeth school, Calgary, AB, Canada",7,6.5,6.5,,
240/852,266/664,Seven Persons,Seven Persons,"Seven Persons school, Seven Persons, AB, Canada",7,6.5,,,
240/852,266/664,Sweet Grass,Edmonton,"Sweet Grass school, Edmonton, AB, Canada",7,6.5,,,
240/852,283/664,Anne Fitzgerald,Edmonton,"Anne Fitzgerald school, Edmonton, AB, Canada",7,6.4,,,
240/852,283/664,Wildwood,Calgary,"Wildwood school, Calgary, AB, Canada",7,6.4,6.4,,
240/852,302/664,Marwayne Jubilee,Marwayne,"Marwayne Jubilee school, Marwayne, AB, Canada",7,6.3,,,
240/852,344/664,St. Matthew,Calgary,"St. Matthew school, Calgary, AB, Canada",7,6.1,6.1,,
240/852,364/664,Good Shepherd,Airdrie,"Good Shepherd school, Airdrie, AB, Canada",7,6,,,
240/852,385/664,Bowden Grandview,Bowden,"Bowden Grandview school, Bowden, AB, Canada",7,5.9,,,
240/852,385/664,Glendon,Glendon,"Glendon school, Glendon, AB, Canada",7,5.9,,,
240/852,499/664,Father Leo Green,Edmonton,"Father Leo Green school, Edmonton, AB, Canada",7,5.2,,,
240/852,n/a,Champs Vall??e,Beaumont,"Champs Vall??e school, Beaumont, AB, Canada",7,n/a,,,
240/852,n/a,Heloise Lorimer,Airdrie,"Heloise Lorimer school, Airdrie, AB, Canada",7,n/a,,,
240/852,n/a,Koinonia Christian,Red Deer,"Koinonia Christian school, Red Deer, AB, Canada",7,n/a,,,
240/852,n/a,Riverdale,Edmonton,"Riverdale school, Edmonton, AB, Canada",7,n/a,,,
265/852,43/664,A B Daley,Nanton,"A B Daley school, Nanton, AB, Canada",6.9,8.2,,,
265/852,51/664,Sacred Heart,Strathmore,"Sacred Heart school, Strathmore, AB, Canada",6.9,8.1,,,
265/852,63/664,St. Mary,Edmonton,"St. Mary school, Edmonton, AB, Canada",6.9,7.9,,,
265/852,138/664,Caledonia Park,Leduc,"Caledonia Park school, Leduc, AB, Canada",6.9,7.3,,,
265/852,151/664,Monsignor J. J. O'Brien,Calgary,"Monsignor J. J. O'Brien school, Calgary, AB, Canada",6.9,7.2,7.2,,
265/852,151/664,Rideau Park,Edmonton,"Rideau Park school, Edmonton, AB, Canada",6.9,7.2,,,
265/852,151/664,Simons Valley,Calgary,"Simons Valley school, Calgary, AB, Canada",6.9,7.2,7.2,,
265/852,151/664,St. Jude,Calgary,"St. Jude school, Calgary, AB, Canada",6.9,7.2,7.2,,
265/852,151/664,Victoria,Edmonton,"Victoria school, Edmonton, AB, Canada",6.9,7.2,,,
265/852,172/664,St. Paul,Edmonton,"St. Paul school, Edmonton, AB, Canada",6.9,7.1,,,
265/852,200/664,Greenview,Edmonton,"Greenview school, Edmonton, AB, Canada",6.9,6.9,,,
265/852,214/664,St. Margaret,Calgary,"St. Margaret school, Calgary, AB, Canada",6.9,6.8,6.8,,
265/852,227/664,Wes Hosford,Sherwood Park,"Wes Hosford school, Sherwood Park, AB, Canada",6.9,6.7,,,
265/852,320/664,Three Hills,Three Hills,"Three Hills school, Three Hills, AB, Canada",6.9,6.2,,,
265/852,385/664,Harry Balfour,Grande Prairie,"Harry Balfour school, Grande Prairie, AB, Canada",6.9,5.9,,,
265/852,385/664,Terrace Ridge,Lacombe,"Terrace Ridge school, Lacombe, AB, Canada",6.9,5.9,,,
265/852,406/664,Gateway Christian,Red Deer,"Gateway Christian school, Red Deer, AB, Canada",6.9,5.8,,,
265/852,406/664,Robert W. Zahara,Sexsmith,"Robert W. Zahara school, Sexsmith, AB, Canada",6.9,5.8,,,
265/852,482/664,Bowcroft,Calgary,"Bowcroft school, Calgary, AB, Canada",6.9,5.3,5.3,,
265/852,n/a,Apostles of Jesus,Calgary,"Apostles of Jesus school, Calgary, AB, Canada",6.9,n/a,6.9,,
265/852,n/a,Claudette-et-Denis-Tardif,Sherwood Park,"Claudette-et-Denis-Tardif school, Sherwood Park, AB, Canada",6.9,n/a,,,
265/852,n/a,Dr. Roy Wilson,Medicine Hat,"Dr. Roy Wilson school, Medicine Hat, AB, Canada",6.9,n/a,,,
265/852,n/a,Lois E. Hole,St. Albert,"Lois E. Hole school, St. Albert, AB, Canada",6.9,n/a,,,
265/852,n/a,Oyen,Oyen,"Oyen school, Oyen, AB, Canada",6.9,n/a,,,
265/852,n/a,Sister Mary Phillips,Fort McMurray,"Sister Mary Phillips school, Fort McMurray, AB, Canada",6.9,n/a,,,
265/852,n/a,St. Catherine,Calgary,"St. Catherine school, Calgary, AB, Canada",6.9,n/a,6.9,,
265/852,n/a,Tanbridge,Calgary,"Tanbridge school, Calgary, AB, Canada",6.9,n/a,6.9,,
265/852,n/a,Trinity Christian,Strathmore,"Trinity Christian school, Strathmore, AB, Canada",6.9,n/a,,,
293/852,63/664,Altadore,Calgary,"Altadore school, Calgary, AB, Canada",6.8,7.9,7.9,,
293/852,101/664,Banff Trail,Calgary,"Banff Trail school, Calgary, AB, Canada",6.8,7.6,7.6,,
293/852,151/664,Pine Street,Sherwood Park,"Pine Street school, Sherwood Park, AB, Canada",6.8,7.2,,,
293/852,172/664,Clara Tyner,Edmonton,"Clara Tyner school, Edmonton, AB, Canada",6.8,7.1,,,
293/852,172/664,Holy Angels,Calgary,"Holy Angels school, Calgary, AB, Canada",6.8,7.1,7.1,,
293/852,227/664,Bessie Nichols,Edmonton,"Bessie Nichols school, Edmonton, AB, Canada",6.8,6.7,,,
293/852,283/664,Mary Hanley,Edmonton,"Mary Hanley school, Edmonton, AB, Canada",6.8,6.4,,,
293/852,302/664,St. Alphonsus,Calgary,"St. Alphonsus school, Calgary, AB, Canada",6.8,6.3,6.3,,
293/852,302/664,St. Clare,Calgary,"St. Clare school, Calgary, AB, Canada",6.8,6.3,6.3,,
293/852,320/664,Edmonton Islamic,Edmonton,"Edmonton Islamic school, Edmonton, AB, Canada",6.8,6.2,,,
293/852,320/664,King George,Calgary,"King George school, Calgary, AB, Canada",6.8,6.2,6.2,,
293/852,320/664,McLeod,Edmonton,"McLeod school, Edmonton, AB, Canada",6.8,6.2,,,
293/852,320/664,St. Vincent,Edmonton,"St. Vincent school, Edmonton, AB, Canada",6.8,6.2,,,
293/852,344/664,J H Picard,Edmonton,"J H Picard school, Edmonton, AB, Canada",6.8,6.1,,,
293/852,344/664,Rimbey,Rimbey,"Rimbey school, Rimbey, AB, Canada",6.8,6.1,,,
293/852,364/664,Grande Prairie Christian,Grande Prairie,"Grande Prairie Christian school, Grande Prairie, AB, Canada",6.8,6,,,
293/852,364/664,Greentree,Drumheller,"Greentree school, Drumheller, AB, Canada",6.8,6,,,
293/852,482/664,Inglewood,Edmonton,"Inglewood school, Edmonton, AB, Canada",6.8,5.3,,,
293/852,n/a,Corpus Christi,Calgary,"Corpus Christi school, Calgary, AB, Canada",6.8,n/a,6.8,,
293/852,n/a,Irma,Irma,"Irma school, Irma, AB, Canada",6.8,n/a,,,
293/852,n/a,Our Lady of Grace,Calgary,"Our Lady of Grace school, Calgary, AB, Canada",6.8,n/a,6.8,,
314/852,151/664,Blessed Sacrament,Wainwright,"Blessed Sacrament school, Wainwright, AB, Canada",6.7,7.2,,,
314/852,151/664,Marie Poburan,St. Albert,"Marie Poburan school, St. Albert, AB, Canada",6.7,7.2,,,
314/852,172/664,Johnny Bright,Edmonton,"Johnny Bright school, Edmonton, AB, Canada",6.7,7.1,,,
314/852,200/664,Kildare,Edmonton,"Kildare school, Edmonton, AB, Canada",6.7,6.9,,,
314/852,214/664,St. Pius X,Calgary,"St. Pius X school, Calgary, AB, Canada",6.7,6.8,6.8,,
314/852,227/664,Win Ferguson,Fort Saskatchewan,"Win Ferguson school, Fort Saskatchewan, AB, Canada",6.7,6.7,,,
314/852,266/664,Our Lady of Fatima,Calgary,"Our Lady of Fatima school, Calgary, AB, Canada",6.7,6.5,6.5,,
314/852,283/664,Dorothy Dalgliesh,Picture Butte,"Dorothy Dalgliesh school, Picture Butte, AB, Canada",6.7,6.4,,,
314/852,283/664,Livingstone,Lundbreck,"Livingstone school, Lundbreck, AB, Canada",6.7,6.4,,,
314/852,283/664,Westboro,Sherwood Park,"Westboro school, Sherwood Park, AB, Canada",6.7,6.4,,,
314/852,320/664,Elmwood,Edmonton,"Elmwood school, Edmonton, AB, Canada",6.7,6.2,,,
314/852,320/664,St. Isabella,Calgary,"St. Isabella school, Calgary, AB, Canada",6.7,6.2,6.2,,
314/852,344/664,Elmer S Gish,St. Albert,"Elmer S Gish school, St. Albert, AB, Canada",6.7,6.1,,,
314/852,364/664,Namao,Namao,"Namao school, Namao, AB, Canada",6.7,6,,,
314/852,n/a,Aspen Grove,Grande Prairie,"Aspen Grove school, Grande Prairie, AB, Canada",6.7,n/a,,,
314/852,n/a,Bishop David Motiuk,Edmonton,"Bishop David Motiuk school, Edmonton, AB, Canada",6.7,n/a,,,
314/852,n/a,David Thomas King,Edmonton,"David Thomas King school, Edmonton, AB, Canada",6.7,n/a,,,
314/852,n/a,Father Michael Mireau,Edmonton,"Father Michael Mireau school, Edmonton, AB, Canada",6.7,n/a,,,
314/852,n/a,Fr M Beauregard,Fort McMurray,"Fr M Beauregard school, Fort McMurray, AB, Canada",6.7,n/a,,,
314/852,n/a,Holy Child,Calgary,"Holy Child school, Calgary, AB, Canada",6.7,n/a,6.7,,
314/852,n/a,MAC Islamic,Edmonton,"MAC Islamic school, Edmonton, AB, Canada",6.7,n/a,,,
314/852,n/a,St. Benedict,Calgary,"St. Benedict school, Calgary, AB, Canada",6.7,n/a,6.7,,
314/852,n/a,St. Monica,Calgary,"St. Monica school, Calgary, AB, Canada",6.7,n/a,6.7,,
314/852,n/a,West Haven,Leduc,"West Haven school, Leduc, AB, Canada",6.7,n/a,,,
338/852,80/664,Marion Carson,Calgary,"Marion Carson school, Calgary, AB, Canada",6.6,7.8,7.8,,
338/852,101/664,Dovercourt,Edmonton,"Dovercourt school, Edmonton, AB, Canada",6.6,7.6,,,
338/852,138/664,Raymond,Raymond,"Raymond school, Raymond, AB, Canada",6.6,7.3,,,
338/852,172/664,Our Lady of the Assumption,Calgary,"Our Lady of the Assumption school, Calgary, AB, Canada",6.6,7.1,7.1,,
338/852,227/664,Irvine,Irvine,"Irvine school, Irvine, AB, Canada",6.6,6.7,,,
338/852,246/664,Camilla,Riviere Qui Barre,"Camilla school, Riviere Qui Barre, AB, Canada",6.6,6.6,,,
338/852,246/664,Leo Nickerson,St. Albert,"Leo Nickerson school, St. Albert, AB, Canada",6.6,6.6,,,
338/852,266/664,Holy Spirit,Sherwood Park,"Holy Spirit school, Sherwood Park, AB, Canada",6.6,6.5,,,
338/852,266/664,Malmo,Edmonton,"Malmo school, Edmonton, AB, Canada",6.6,6.5,,,
338/852,266/664,Riverbend,Calgary,"Riverbend school, Calgary, AB, Canada",6.6,6.5,6.5,,
338/852,266/664,Thorsby,Thorsby,"Thorsby school, Thorsby, AB, Canada",6.6,6.5,,,
338/852,283/664,Haysboro,Calgary,"Haysboro school, Calgary, AB, Canada",6.6,6.4,6.4,,
338/852,302/664,Parkview,Edmonton,"Parkview school, Edmonton, AB, Canada",6.6,6.3,,,
338/852,344/664,Holy Trinity,Calgary,"Holy Trinity school, Calgary, AB, Canada",6.6,6.1,6.1,,
338/852,364/664,Maude Clifford,Grande Prairie,"Maude Clifford school, Grande Prairie, AB, Canada",6.6,6,,,
338/852,385/664,Mount View,Calgary,"Mount View school, Calgary, AB, Canada",6.6,5.9,5.9,,
338/852,385/664,Weinlos,Edmonton,"Weinlos school, Edmonton, AB, Canada",6.6,5.9,,,
338/852,455/664,Midnapore,Calgary,"Midnapore school, Calgary, AB, Canada",6.6,5.5,5.5,,
338/852,n/a,Barnwell,Barnwell,"Barnwell school, Barnwell, AB, Canada",6.6,n/a,,,
338/852,n/a,J. C. Charyk Hanna,Hanna,"J. C. Charyk Hanna school, Hanna, AB, Canada",6.6,n/a,,,
338/852,n/a,Lethbridge Christian,Lethbridge,"Lethbridge Christian school, Lethbridge, AB, Canada",6.6,n/a,,,
338/852,n/a,St. Martha,Fort McMurray,"St. Martha school, Fort McMurray, AB, Canada",6.6,n/a,,,
360/852,80/664,Sunnyside,Calgary,"Sunnyside school, Calgary, AB, Canada",6.5,7.8,7.8,,
360/852,116/664,Belgravia,Edmonton,"Belgravia school, Edmonton, AB, Canada",6.5,7.5,,,
360/852,190/664,Almadina,Calgary,"Almadina school, Calgary, AB, Canada",6.5,7,7,,
360/852,200/664,Prince of Wales,Calgary,"Prince of Wales school, Calgary, AB, Canada",6.5,6.9,6.9,,
360/852,214/664,St. Albert the Great,Calgary,"St. Albert the Great school, Calgary, AB, Canada",6.5,6.8,6.8,,
360/852,227/664,Malcolm Tweddle,Edmonton,"Malcolm Tweddle school, Edmonton, AB, Canada",6.5,6.7,,,
360/852,246/664,Frere Antoine,Edmonton,"Frere Antoine school, Edmonton, AB, Canada",6.5,6.6,,,
360/852,246/664,St. James,Calgary,"St. James school, Calgary, AB, Canada",6.5,6.6,6.6,,
360/852,302/664,Coronation,Coronation,"Coronation school, Coronation, AB, Canada",6.5,6.3,,,
360/852,320/664,Neerlandia Public Christian,Neerlandia,"Neerlandia Public Christian school, Neerlandia, AB, Canada",6.5,6.2,,,
360/852,344/664,Banff,Banff,"Banff school, Banff, AB, Canada",6.5,6.1,,,
360/852,364/664,Father Jan,St. Albert,"Father Jan school, St. Albert, AB, Canada",6.5,6,,,
360/852,406/664,Connaught,Calgary,"Connaught school, Calgary, AB, Canada",6.5,5.8,5.8,,
360/852,421/664,Hillview,Edmonton,"Hillview school, Edmonton, AB, Canada",6.5,5.7,,,
360/852,421/664,Holy Family,Calgary,"Holy Family school, Calgary, AB, Canada",6.5,5.7,5.7,,
360/852,444/664,Eckville,Eckville,"Eckville school, Eckville, AB, Canada",6.5,5.6,,,
360/852,520/664,Annie Foote,Calgary,"Annie Foote school, Calgary, AB, Canada",6.5,5,5,,
360/852,606/664,Boyle,Boyle,"Boyle school, Boyle, AB, Canada",6.5,4.1,,,
360/852,n/a,Wheatland Crossing,Standard,"Wheatland Crossing school, Standard, AB, Canada",6.5,n/a,,,
379/852,43/664,Brookside,Edmonton,"Brookside school, Edmonton, AB, Canada",6.4,8.2,,,
379/852,116/664,Langevin,Calgary,"Langevin school, Calgary, AB, Canada",6.4,7.5,7.5,,
379/852,124/664,Calgary Arts,Calgary,"Calgary Arts school, Calgary, AB, Canada",6.4,7.4,7.4,,
379/852,138/664,St. Bernadette,Edmonton,"St. Bernadette school, Edmonton, AB, Canada",6.4,7.3,,,
379/852,227/664,Bawlf,Bawlf,"Bawlf school, Bawlf, AB, Canada",6.4,6.7,,,
379/852,246/664,Mundare,Mundare,"Mundare school, Mundare, AB, Canada",6.4,6.6,,,
379/852,283/664,St. Augustine,Calgary,"St. Augustine school, Calgary, AB, Canada",6.4,6.4,6.4,,
379/852,302/664,Blueberry,Stony Plain,"Blueberry school, Stony Plain, AB, Canada",6.4,6.3,,,
379/852,302/664,St. Thomas Aquinas,Provost,"St. Thomas Aquinas school, Provost, AB, Canada",6.4,6.3,,,
379/852,320/664,Mill Creek,Edmonton,"Mill Creek school, Edmonton, AB, Canada",6.4,6.2,,,
379/852,320/664,W. O. Mitchell,Calgary,"W. O. Mitchell school, Calgary, AB, Canada",6.4,6.2,6.2,,
379/852,364/664,Beaverlodge,Beaverlodge,"Beaverlodge school, Beaverlodge, AB, Canada",6.4,6,,,
379/852,364/664,St. Dominic,Edmonton,"St. Dominic school, Edmonton, AB, Canada",6.4,6,,,
379/852,465/664,Beddington Heights,Calgary,"Beddington Heights school, Calgary, AB, Canada",6.4,5.4,5.4,,
379/852,536/664,St. Jerome,Edmonton,"St. Jerome school, Edmonton, AB, Canada",6.4,4.9,,,
379/852,n/a,Christina Gordon,Fort McMurray,"Christina Gordon school, Fort McMurray, AB, Canada",6.4,n/a,,,
379/852,n/a,St. Mary,Beaverlodge,"St. Mary school, Beaverlodge, AB, Canada",6.4,n/a,,,
396/852,172/664,Banded Peak,Bragg Creek,"Banded Peak school, Bragg Creek, AB, Canada",6.3,7.1,,,
396/852,190/664,Dr Morris Gibson,Okotoks,"Dr Morris Gibson school, Okotoks, AB, Canada",6.3,7,,,
396/852,200/664,Blessed Kateri,Edmonton,"Blessed Kateri school, Edmonton, AB, Canada",6.3,6.9,,,
396/852,214/664,Vanier,Edson,"Vanier school, Edson, AB, Canada",6.3,6.8,,,
396/852,227/664,Heritage Heights,De Winton,"Heritage Heights school, De Winton, AB, Canada",6.3,6.7,,,
396/852,266/664,Donnan,Edmonton,"Donnan school, Edmonton, AB, Canada",6.3,6.5,,,
396/852,266/664,Edmonton Christian Northeast,Edmonton,"Edmonton Christian Northeast school, Edmonton, AB, Canada",6.3,6.5,,,
396/852,283/664,Breton,Breton,"Breton school, Breton, AB, Canada",6.3,6.4,,,
396/852,283/664,St. Cecilia,Calgary,"St. Cecilia school, Calgary, AB, Canada",6.3,6.4,6.4,,
396/852,302/664,Vermilion,Vermilion,"Vermilion school, Vermilion, AB, Canada",6.3,6.3,,,
396/852,320/664,Don Bosco,Calgary,"Don Bosco school, Calgary, AB, Canada",6.3,6.2,6.2,,
396/852,385/664,Our Lady of Mount Carmel,Edmonton,"Our Lady of Mount Carmel school, Edmonton, AB, Canada",6.3,5.9,,,
396/852,406/664,Elm Street,Medicine Hat,"Elm Street school, Medicine Hat, AB, Canada",6.3,5.8,,,
396/852,444/664,Eleanor Hall,Clyde,"Eleanor Hall school, Clyde, AB, Canada",6.3,5.6,,,
396/852,547/664,Hill Crest,La Crete,"Hill Crest school, La Crete, AB, Canada",6.3,4.8,,,
396/852,n/a,Corpus Christi,Edmonton,"Corpus Christi school, Edmonton, AB, Canada",6.3,n/a,,,
396/852,n/a,Griffiths-Scott,Millet,"Griffiths-Scott school, Millet, AB, Canada",6.3,n/a,,,
